Група,День,Час,Предмет
ІПС-21,ПОНЕДІЛОК,8:40,ООП (пр) 1 п/г; Теорія алгоритмів та мат логіка (пр) 2 п/г
ІПС-21,ПОНЕДІЛОК,10:35,Теорія ймовірності (пр)
ІПС-21,ПОНЕДІЛОК,12:20,Управління динамічними системами (пр) 1 п/г; Управління динамічними системами (пр) 2 п/г
ІПС-21,ВІВТОРОК,8:40,Теорія алгоритмів та мат логіка (пр) 1 п/г; ООП (лаб) 2 п/г
ІПС-21,ВІВТОРОК,10:35,Англійська мова (пр) 1 п/г; Англійська мова (пр) 2 п/г
ІПС-21,ВІВТОРОК,12:20,(Непарний) Теорія Ймовірності (пр) 2 п/г; (Парний) Англійська мова (пр)
ІПС-21,СЕРЕДА,8:40,ВІКНО
ІПС-21,СЕРЕДА,10:35,(Непарний) Алгоритми та складність (лаб) 1 п/г; Інструментальні засоби розробки ПЗ (лаб) 2 п/г; (Парний) Інструментальні засоби розробки ПЗ (лаб) 1 п/г; Алгоритми та складність (лаб) 2 п/г
ІПС-21,СЕРЕДА,12:20,(Парний) Теорія Ймовірності (пр) 2 п/г
ІПС-21,ЧЕТВЕР,8:40,Алгоритми та складність (лек)
ІПС-21,ЧЕТВЕР,10:35,Теорія алгоритмів і мат логіка (лек)
ІПС-21,ЧЕТВЕР,12:20,Теорія Ймовірності (лек)
ІПС-21,П'ЯТНИЦЯ,8:40,ООП (лек)
ІПС-21,П'ЯТНИЦЯ,10:35,Управління динамічними системами (лек)
ІПС-21,П'ЯТНИЦЯ,12:20,Інструментальні засоби розробки ПЗ (лек)
ІПС-22,ПОНЕДІЛОК,8:40, Англійська мова (пр)
ІПС-22,ПОНЕДІЛОК,10:35, Теорія алгоритмів та мат логіка (пр) 2 п/г; ООП (лаб) 1 п/г
ІПС-22,ПОНЕДІЛОК,12:20, Теорія Ймовірності (пр) 1 п/г
ІПС-22,ВІВТОРОК,8:40,Управління динамічними системами (лаб)
ІПС-22,ВІВТОРОК,10:35,Теорія алгоритмів та мат логіка (пр) 1 п/г; ООП (лаб) 2 п/г
ІПС-22,ВІВТОРОК,12:20,(парний) Теорія Ймовірності (пр) 2 п/г; (непарний) Англійська мова 1 п/г(пр)
ІПС-22,СЕРЕДА,8:40,(Непарний) Алгоритми та складність (лаб) 1 п/г; Інструментальні засоби розробки ПЗ (лаб) 2 п/г; (Парний) Інструментальні засоби розробки ПЗ (лаб) 1 п/г; Алгоритми та складність (лаб) 2 п/г
ІПС-22,СЕРЕДА,10:35,(Непарний) Англійська мова 2 п/г
ІПС-22,СЕРЕДА,12:20,(Непарний) Теорія Ймовірності (пр) 2 п/г
ІПС-22,ЧЕТВЕР,8:40,Алгоритми та складність (лек)
ІПС-22,ЧЕТВЕР,10:35,Теорія алгоритмів і мат логіка (лек)
ІПС-22,ЧЕТВЕР,12:20,Теорія Ймовірності (лек)
ІПС-22,П'ЯТНИЦЯ,8:40,ООП (лек)
ІПС-22,П'ЯТНИЦЯ,10:35,Управління динамічними системами (лек)
ІПС-22,П'ЯТНИЦЯ,12:20,Інструментальні засоби розробки ПЗ (лек)
